T0611                                                                                               01                                                                                                  01-JUN-2022 17:23:1801-JUN-2022 17:30:121010 810 8 810 7 610 7 5 19999999999999999999999                                                                                                                                                                                                                                                           4 1 0 299 1 5 0 0 0 0 0 1 0 1 0 1 0 0 0                                                                                                                                                                                                         7 4 7 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 0 1 0 1 199 0 1 1 1 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                67 6 4 3 6213999999 0 1 0 0 1 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0612                                                                                               01                                                                                                  01-JUN-2022 19:22:0901-JUN-2022 19:33:3710101010 010 81010 8 810 19999999999999999999999                                                                                                                                                                                                                                                           4 1 2 199 6 6 1 0 0 1 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         6 2 3 0 0 1 1 0 0 1 0 29999999999999999999999 2 2 2 0 1 1 0 0 1 2 2 0 1 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                67 5 2 2 4106999999 0 1 1 0 1 0 0 0 0 0 015999999999999999999 599999999999999999999 1999999999999999999999999999999999999999999
T0613                                                                                               01                                                                                                  01-JUN-2022 12:14:2201-JUN-2022 12:29:291010 6 7 7 7 7 5 9 9 6 6 19999999999999999999999                                                                                                                                                                                                                                                           4 1 0 199 5 5 0 1 1 0 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         8 1 6 0 1 0 0 1 0 0 1 29999999999999999999999 1 2 3 0 1 1 0 0 1 2 3 1 0 1 0 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                66 5 2 4 6301999999 0 0 0 0 1 0 0 0 0 0 0 2 999999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0614                                                                                               01                                                                                                  02-JUN-2022 01:15:0702-JUN-2022 01:29:311010 510 8 8 810 710 8 7 19999999999999999999999                                                                                                                                                                                                                                                           1 29999 4 6 6 1 0 1 0 0 0 1 0 0 0 0 0 0                                                                                                                                                                                                        10 2 7 0 0 1 1 0 0 1 0 29999999999999999999999 1 2 3 0 0 0 1 0 1 2 3 0 1 1 0 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                66 5 3 3 5301999999 0 1 0 0 0 0 0 0 0 0 0149999999999999999 19999999999999999999999 1999999999999999999999999999999999999999999
T0615                                                                                               01                                                                                                  01-JUN-2022 19:42:1501-JUN-2022 20:01:41 7 8 6 7 6 9 7 7 9 9 7 7 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 099 1 5 0 0 1 1 0 0 1 0 0 0 0 0 0                                                                                                                                                                                                         2 396 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 2 2 1 1 0 1 0 1 199 0 1 1 1 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                66 4 3 2 5302999999 0 1 0 0 1 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0616                                                                                               01                                                                                                  03-JUN-2022 23:25:4703-JUN-2022 23:31:351010101010 71010 7 7 6 8 19999999999999999999999                                                                                                                                                                                                                                                           3 1 0 099 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0                                                                                                                                                                                                         5 3 2 0 0 0 0 0 1 1 1 29999999999999999999999 2 2 2 0 1 0 0 0 1 199 0 1 1 1 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                65 4 3 3 7303999999 0 1 0 0 0 0 0 0 0 0 0149999999999999999 19999999999999999999999 1999999999999999999999999999999999999999999
T0617                                                                                               01                                                                                                  01-JUN-2022 16:03:4801-JUN-2022 17:48:02 9 9 8 710 9 8 7 6 6 8 6 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 199 1 4 1 0 1 0 1 0 0 0 0 0 0 0 0                                                                                                                                                                                                         4 3 6 0 0 0 1 0 0 1 1 29999999999999999999999 2 2 3 1 1 1 0 0 1 2 3 0 1 1 1 0 0 0 0 0                                                                                                                                                                                                                                                                                                                                65 4 3 3 5601999999 0 1 0 0 1 0 0 0 0 0 0 2 799999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0618                                                                                               01                                                                                                  01-JUN-2022 21:44:1001-JUN-2022 22:03:14 9 9 8 8 9 9 8 9 9 9 8 8 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 199 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0                                                                                                                                                                                                         5 2 5 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 2 4 0 0 0 0 1 1 199 0 1 0 1 0 0 1 0 0                                                                                                                                                                                                                                                                                                                                63 4 3 1 3901302999 0 0 1 0 1 0 0 0 0 0 0 2 299999999999999999999999999999999999999 1999999999999999999999999999999999999999999
T0619                                                                                               01                                                                                                  08-JUN-2022 15:33:1608-JUN-2022 15:44:30 9 9 5 5 810 9 2 5 9 6 4 19999999999999999999999                                                                                                                                                                                                                                                           4 1 0 299 2 8 0 0 0 0 0 1 1 0 0 1 0 0 0                                                                                                                                                                                                         2 3 3 0 0 1 0 0 1 1 0 29999999999999999999999 3 2 3 0 0 0 1 0 1 2 1 0 0 0 1 0 0 1 1 0                                                                                                                                                                                                                                                                                                                                61 5 2 3 6401999999 0 1 0 0 1 0 0 0 0 0 015999999999999999999 199999999999999999999 1999999999999999999999999999999999999999999
T0620                                                                                               01                                                                                                  01-JUN-2022 18:22:4701-JUN-2022 18:28:481010 7 8 91010 8 8 9 9 9 19999999999999999999999                                                                                                                                                                                                                                                           2 1 0 399 1 4 0 0 0 0 1 0 0 1 1 0 0 0 0                                                                                                                                                                                                         8 3 2 1 0 0 0 1 0 1 0 29999999999999999999999 1 4 2 1 0 0 1 0 1 2 1 0 1 1 0 0 0 0 1 0                                                                                                                                                                                                                                                                                                                                60 6 3 3 8206999999 0 1 0 0 1 0 0 0 0 0 0 2 199999999999999999999999999999999999999 1999999999999999999999999999999999999999999
